state,month,prep_dispensing_count
OTHER,2016-02-01,0
OTHER,2016-03-01,2
OTHER,2016-04-01,1
OTHER,2016-05-01,0
OTHER,2016-06-01,0
OTHER,2016-07-01,0
OTHER,2016-08-01,0
OTHER,2016-09-01,1
OTHER,2016-10-01,0
OTHER,2016-11-01,4
OTHER,2016-12-01,2
OTHER,2017-01-01,0
OTHER,2017-02-01,2
OTHER,2017-03-01,2
OTHER,2017-04-01,0
OTHER,2017-05-01,0
OTHER,2017-06-01,1
OTHER,2017-07-01,1
OTHER,2017-08-01,0
OTHER,2017-09-01,1
OTHER,2017-10-01,0
OTHER,2017-11-01,0
OTHER,2017-12-01,1
OTHER,2018-01-01,0
OTHER,2018-02-01,1
OTHER,2018-03-01,0
OTHER,2018-04-01,0
OTHER,2018-05-01,35
OTHER,2018-06-01,59
OTHER,2018-07-01,100
OTHER,2018-08-01,140
OTHER,2018-09-01,175
OTHER,2018-10-01,209
OTHER,2018-11-01,231
OTHER,2018-12-01,215
OTHER,2019-01-01,230
OTHER,2019-02-01,229
OTHER,2019-03-01,233
OTHER,2019-04-01,218
OTHER,2019-05-01,214
OTHER,2019-06-01,208
OTHER,2019-07-01,210
OTHER,2019-08-01,202
OTHER,2019-09-01,227
OTHER,2019-10-01,218
OTHER,2019-11-01,217
OTHER,2019-12-01,215
OTHER,2020-01-01,234
OTHER,2020-02-01,195
OTHER,2020-03-01,206
OTHER,2020-04-01,205
OTHER,2020-05-01,167
OTHER,2020-06-01,157
OTHER,2020-07-01,154
OTHER,2020-08-01,183
OTHER,2020-09-01,186
OTHER,2020-10-01,167
OTHER,2020-11-01,203
OTHER,2020-12-01,225
OTHER,2021-01-01,210
OTHER,2021-02-01,229
OTHER,2021-03-01,244
OTHER,2021-04-01,255
OTHER,2021-05-01,258
OTHER,2021-06-01,244
OTHER,2021-07-01,273
OTHER,2021-08-01,223
OTHER,2021-09-01,241
OTHER,2021-10-01,276
OTHER,2021-11-01,264
OTHER,2021-12-01,256
OTHER,2022-01-01,272
OTHER,2022-02-01,273
OTHER,2022-03-01,269
OTHER,2022-04-01,271
OTHER,2022-05-01,251
OTHER,2022-06-01,253
OTHER,2022-07-01,253
OTHER,2022-08-01,291
OTHER,2022-09-01,268
OTHER,2022-10-01,284
OTHER,2022-11-01,280
OTHER,2022-12-01,277
