state,month,prep_dispensing_count
QLD,2021-07-01,1253
QLD,2021-08-01,1281
QLD,2021-09-01,1315
QLD,2021-10-01,1275
QLD,2021-11-01,1377
QLD,2021-12-01,1321
QLD,2022-01-01,1352
QLD,2022-02-01,1343
QLD,2022-03-01,1316
QLD,2022-04-01,1263
QLD,2022-05-01,1307
QLD,2022-06-01,1381
QLD,2022-07-01,1379
QLD,2022-08-01,1276
QLD,2022-09-01,1307
QLD,2022-10-01,1434
QLD,2022-11-01,1367
QLD,2022-12-01,1454
WA,2016-01-01,0
WA,2016-02-01,0
WA,2016-03-01,1
WA,2016-04-01,0
WA,2016-05-01,0
WA,2016-06-01,0
WA,2016-07-01,0
WA,2016-08-01,0
WA,2016-09-01,1
WA,2016-10-01,2
WA,2016-11-01,0
WA,2016-12-01,1
WA,2017-01-01,0
WA,2017-02-01,1
WA,2017-03-01,1
WA,2017-04-01,1
WA,2017-05-01,0
WA,2017-06-01,0
WA,2017-07-01,0
WA,2017-08-01,1
WA,2017-09-01,0
WA,2017-10-01,0
WA,2017-11-01,0
WA,2017-12-01,0
WA,2018-01-01,0
WA,2018-02-01,1
WA,2018-03-01,0
WA,2018-04-01,0
WA,2018-05-01,95
WA,2018-06-01,208
WA,2018-07-01,283
WA,2018-08-01,385
WA,2018-09-01,489
WA,2018-10-01,569
WA,2018-11-01,626
WA,2018-12-01,560
WA,2019-01-01,646
WA,2019-02-01,604
WA,2019-03-01,639
WA,2019-04-01,624
WA,2019-05-01,570
WA,2019-06-01,577
WA,2019-07-01,625
WA,2019-08-01,606
WA,2019-09-01,613
WA,2019-10-01,632
WA,2019-11-01,638
WA,2019-12-01,647
WA,2020-01-01,690
WA,2020-02-01,679
WA,2020-03-01,524
WA,2020-04-01,501
WA,2020-05-01,470
WA,2020-06-01,480
WA,2020-07-01,449
WA,2020-08-01,487
WA,2020-09-01,490
WA,2020-10-01,547
WA,2020-11-01,529
WA,2020-12-01,622
WA,2021-01-01,627
WA,2021-02-01,607
WA,2021-03-01,667
WA,2021-04-01,650
WA,2021-05-01,652
WA,2021-06-01,704
WA,2021-07-01,708
WA,2021-08-01,749
WA,2021-09-01,718
WA,2021-10-01,718
WA,2021-11-01,711
WA,2021-12-01,711
WA,2022-01-01,791
WA,2022-02-01,743
WA,2022-03-01,736
WA,2022-04-01,728
WA,2022-05-01,723
WA,2022-06-01,766
WA,2022-07-01,737
WA,2022-08-01,794
WA,2022-09-01,760
WA,2022-10-01,810
WA,2022-11-01,732
WA,2022-12-01,788
SA,2016-01-01,0
SA,2016-02-01,0
SA,2016-03-01,0
SA,2016-04-01,0
SA,2016-05-01,0
SA,2016-06-01,0
SA,2016-07-01,1
SA,2016-08-01,0
SA,2016-09-01,0
SA,2016-10-01,3
SA,2016-11-01,0
SA,2016-12-01,1
SA,2017-01-01,1
SA,2017-02-01,0
SA,2017-03-01,1
SA,2017-04-01,0
SA,2017-05-01,0
SA,2017-06-01,0
SA,2017-07-01,0
SA,2017-08-01,0
SA,2017-09-01,1
SA,2017-10-01,0
SA,2017-11-01,0
SA,2017-12-01,0
SA,2018-01-01,0
SA,2018-02-01,0
SA,2018-03-01,1
SA,2018-04-01,0
SA,2018-05-01,57
SA,2018-06-01,113
SA,2018-07-01,199
SA,2018-08-01,251
SA,2018-09-01,295
SA,2018-10-01,326
SA,2018-11-01,374
SA,2018-12-01,397
SA,2019-01-01,372
SA,2019-02-01,400
SA,2019-03-01,390
SA,2019-04-01,348
SA,2019-05-01,373
SA,2019-06-01,390
SA,2019-07-01,375
SA,2019-08-01,370
SA,2019-09-01,410
SA,2019-10-01,423
SA,2019-11-01,420
SA,2019-12-01,390
SA,2020-01-01,402
SA,2020-02-01,412
SA,2020-03-01,349
SA,2020-04-01,299
SA,2020-05-01,301
SA,2020-06-01,292
SA,2020-07-01,281
SA,2020-08-01,301
SA,2020-09-01,331
SA,2020-10-01,326
SA,2020-11-01,374
SA,2020-12-01,437
SA,2021-01-01,378
SA,2021-02-01,415
SA,2021-03-01,404
SA,2021-04-01,396
SA,2021-05-01,432
SA,2021-06-01,435
SA,2021-07-01,418
SA,2021-08-01,448
SA,2021-09-01,481
SA,2021-10-01,473
SA,2021-11-01,450
SA,2021-12-01,453
SA,2022-01-01,437
SA,2022-02-01,445
SA,2022-03-01,453
SA,2022-04-01,459
SA,2022-05-01,497
SA,2022-06-01,476
SA,2022-07-01,477
SA,2022-08-01,501
SA,2022-09-01,470
SA,2022-10-01,507
SA,2022-11-01,472
SA,2022-12-01,481
OTHER,2016-01-01,1
OTHER,2016-02-01,1
OTHER,2016-03-01,0
OTHER,2016-04-01,0
OTHER,2016-05-01,0
OTHER,2016-06-01,0
OTHER,2016-07-01,0
OTHER,2016-08-01,1
OTHER,2016-09-01,0
OTHER,2016-10-01,1
OTHER,2016-11-01,0
OTHER,2016-12-01,0
OTHER,2017-01-01,0
OTHER,2017-02-01,1
OTHER,2017-03-01,0
OTHER,2017-04-01,0
OTHER,2017-05-01,0
OTHER,2017-06-01,0
OTHER,2017-07-01,0
OTHER,2017-08-01,1
OTHER,2017-09-01,0
OTHER,2017-10-01,0
OTHER,2017-11-01,0
OTHER,2017-12-01,1
OTHER,2018-01-01,0
OTHER,2018-02-01,0
OTHER,2018-03-01,0
OTHER,2018-04-01,1
OTHER,2018-05-01,35
OTHER,2018-06-01,65
OTHER,2018-07-01,108
OTHER,2018-08-01,144
OTHER,2018-09-01,178
OTHER,2018-10-01,205
OTHER,2018-11-01,203
OTHER,2018-12-01,219
OTHER,2019-01-01,189
OTHER,2019-02-01,212
OTHER,2019-03-01,223
OTHER,2019-04-01,209
OTHER,2019-05-01,224
OTHER,2019-06-01,232
OTHER,2019-07-01,228
OTHER,2019-08-01,251
OTHER,2019-09-01,215
OTHER,2019-10-01,221
OTHER,2019-11-01,216
OTHER,2019-12-01,232
OTHER,2020-01-01,217
OTHER,2020-02-01,230
OTHER,2020-03-01,204
OTHER,2020-04-01,192
OTHER,2020-05-01,180
OTHER,2020-06-01,171
OTHER,2020-07-01,154
OTHER,2020-08-01,157
OTHER,2020-09-01,186
OTHER,2020-10-01,189
OTHER,2020-11-01,199
OTHER,2020-12-01,210
OTHER,2021-01-01,214
OTHER,2021-02-01,235
OTHER,2021-03-01,242
OTHER,2021-04-01,240
OTHER,2021-05-01,254
OTHER,2021-06-01,275
OTHER,2021-07-01,240
OTHER,2021-08-01,255
OTHER,2021-09-01,245
OTHER,2021-10-01,259
OTHER,2021-11-01,257
OTHER,2021-12-01,260
OTHER,2022-01-01,266
OTHER,2022-02-01,275
OTHER,2022-03-01,295
OTHER,2022-04-01,261
OTHER,2022-05-01,280
OTHER,2022-06-01,254
OTHER,2022-07-01,272
OTHER,2022-08-01,260
OTHER,2022-09-01,256
OTHER,2022-10-01,279
OTHER,2022-11-01,303
OTHER,2022-12-01,258
