state,quarter,quarter_start,transmission_category,hiv_notifications
NSW,2020Q3,2020-07-01,Heterosexual,11
NSW,2020Q4,2020-10-01,Heterosexual,12
NSW,2021Q1,2021-01-01,Heterosexual,12
NSW,2021Q2,2021-04-01,Heterosexual,12
NSW,2021Q3,2021-07-01,Heterosexual,17
NSW,2021Q4,2021-10-01,Heterosexual,19
NSW,2022Q1,2022-01-01,Heterosexual,19
NSW,2022Q2,2022-04-01,Heterosexual,17
NSW,2022Q3,2022-07-01,Heterosexual,16
NSW,2022Q4,2022-10-01,Heterosexual,22
NSW,2013Q1,2013-01-01,Other,4
NSW,2013Q2,2013-04-01,Other,9
NSW,2013Q3,2013-07-01,Other,8
NSW,2013Q4,2013-10-01,Other,9
NSW,2014Q1,2014-01-01,Other,6
NSW,2014Q2,2014-04-01,Other,14
NSW,2014Q3,2014-07-01,Other,8
NSW,2014Q4,2014-10-01,Other,6
NSW,2015Q1,2015-01-01,Other,11
NSW,2015Q2,2015-04-01,Other,7
NSW,2015Q3,2015-07-01,Other,9
NSW,2015Q4,2015-10-01,Other,5
NSW,2016Q1,2016-01-01,Other,6
NSW,2016Q2,2016-04-01,Other,14
NSW,2016Q3,2016-07-01,Other,4
NSW,2016Q4,2016-10-01,Other,8
NSW,2017Q1,2017-01-01,Other,6
NSW,2017Q2,2017-04-01,Other,10
NSW,2017Q3,2017-07-01,Other,6
NSW,2017Q4,2017-10-01,Other,4
NSW,2018Q1,2018-01-01,Other,8
NSW,2018Q2,2018-04-01,Other,6
NSW,2018Q3,2018-07-01,Other,7
NSW,2018Q4,2018-10-01,Other,9
NSW,2019Q1,2019-01-01,Other,5
NSW,2019Q2,2019-04-01,Other,3
NSW,2019Q3,2019-07-01,Other,5
NSW,2019Q4,2019-10-01,Other,12
NSW,2020Q1,2020-01-01,Other,8
NSW,2020Q2,2020-04-01,Other,6
NSW,2020Q3,2020-07-01,Other,5
NSW,2020Q4,2020-10-01,Other,2
NSW,2021Q1,2021-01-01,Other,5
NSW,2021Q2,2021-04-01,Other,7
NSW,2021Q3,2021-07-01,Other,6
NSW,2021Q4,2021-10-01,Other,11
NSW,2022Q1,2022-01-01,Other,11
NSW,2022Q2,2022-04-01,Other,8
NSW,2022Q3,2022-07-01,Other,8
NSW,2022Q4,2022-10-01,Other,9
VIC,2013Q1,2013-01-01,MSM,43
VIC,2013Q2,2013-04-01,MSM,53
VIC,2013Q3,2013-07-01,MSM,50
VIC,2013Q4,2013-10-01,MSM,48
VIC,2014Q1,2014-01-01,MSM,63
VIC,2014Q2,2014-04-01,MSM,42
VIC,2014Q3,2014-07-01,MSM,51
VIC,2014Q4,2014-10-01,MSM,37
VIC,2015Q1,2015-01-01,MSM,44
VIC,2015Q2,2015-04-01,MSM,43
VIC,2015Q3,2015-07-01,MSM,50
VIC,2015Q4,2015-10-01,MSM,43
VIC,2016Q1,2016-01-01,MSM,36
VIC,2016Q2,2016-04-01,MSM,49
VIC,2016Q3,2016-07-01,MSM,43
VIC,2016Q4,2016-10-01,MSM,45
VIC,2017Q1,2017-01-01,MSM,45
VIC,2017Q2,2017-04-01,MSM,38
VIC,2017Q3,2017-07-01,MSM,49
VIC,2017Q4,2017-10-01,MSM,39
VIC,2018Q1,2018-01-01,MSM,48
VIC,2018Q2,2018-04-01,MSM,50
VIC,2018Q3,2018-07-01,MSM,32
VIC,2018Q4,2018-10-01,MSM,41
VIC,2019Q1,2019-01-01,MSM,36
VIC,2019Q2,2019-04-01,MSM,29
VIC,2019Q3,2019-07-01,MSM,27
VIC,2019Q4,2019-10-01,MSM,33
VIC,2020Q1,2020-01-01,MSM,22
VIC,2020Q2,2020-04-01,MSM,12
VIC,2020Q3,2020-07-01,MSM,28
VIC,2020Q4,2020-10-01,MSM,22
VIC,2021Q1,2021-01-01,MSM,21
VIC,2021Q2,2021-04-01,MSM,24
VIC,2021Q3,2021-07-01,MSM,24
VIC,2021Q4,2021-10-01,MSM,29
VIC,2022Q1,2022-01-01,MSM,23
VIC,2022Q2,2022-04-01,MSM,23
VIC,2022Q3,2022-07-01,MSM,20
VIC,2022Q4,2022-10-01,MSM,27
VIC,2013Q1,2013-01-01,Heterosexual,16
VIC,2013Q2,2013-04-01,Heterosexual,15
VIC,2013Q3,2013-07-01,Heterosexual,14
VIC,2013Q4,2013-10-01,Heterosexual,13
VIC,2014Q1,2014-01-01,Heterosexual,9
VIC,2014Q2,2014-04-01,Heterosexual,16
VIC,2014Q3,2014-07-01,Heterosexual,18
VIC,2014Q4,2014-10-01,Heterosexual,15
VIC,2015Q1,2015-01-01,Heterosexual,13
VIC,2015Q2,2015-04-01,Heterosexual,16
VIC,2015Q3,2015-07-01,Heterosexual,26
VIC,2015Q4,2015-10-01,Heterosexual,5
VIC,2016Q1,2016-01-01,Heterosexual,18
VIC,2016Q2,2016-04-01,Heterosexual,18
VIC,2016Q3,2016-07-01,Heterosexual,15
VIC,2016Q4,2016-10-01,Heterosexual,14
VIC,2017Q1,2017-01-01,Heterosexual,14
VIC,2017Q2,2017-04-01,Heterosexual,18
VIC,2017Q3,2017-07-01,Heterosexual,7
VIC,2017Q4,2017-10-01,Heterosexual,15
VIC,2018Q1,2018-01-01,Heterosexual,21
VIC,2018Q2,2018-04-01,Heterosexual,11
VIC,2018Q3,2018-07-01,Heterosexual,14
VIC,2018Q4,2018-10-01,Heterosexual,12
VIC,2019Q1,2019-01-01,Heterosexual,12
VIC,2019Q2,2019-04-01,Heterosexual,8
VIC,2019Q3,2019-07-01,Heterosexual,16
VIC,2019Q4,2019-10-01,Heterosexual,13
VIC,2020Q1,2020-01-01,Heterosexual,11
VIC,2020Q2,2020-04-01,Heterosexual,12
VIC,2020Q3,2020-07-01,Heterosexual,10
VIC,2020Q4,2020-10-01,Heterosexual,13
VIC,2021Q1,2021-01-01,Heterosexual,15
VIC,2021Q2,2021-04-01,Heterosexual,19
VIC,2021Q3,2021-07-01,Heterosexual,21
VIC,2021Q4,2021-10-01,Heterosexual,14
VIC,2022Q1,2022-01-01,Heterosexual,12
VIC,2022Q2,2022-04-01,Heterosexual,13
VIC,2022Q3,2022-07-01,Heterosexual,15
VIC,2022Q4,2022-10-01,Heterosexual,15
VIC,2013Q1,2013-01-01,Other,11
VIC,2013Q2,2013-04-01,Other,6
VIC,2013Q3,2013-07-01,Other,7
VIC,2013Q4,2013-10-01,Other,10
VIC,2014Q1,2014-01-01,Other,6
VIC,2014Q2,2014-04-01,Other,7
VIC,2014Q3,2014-07-01,Other,5
VIC,2014Q4,2014-10-01,Other,5
VIC,2015Q1,2015-01-01,Other,7
VIC,2015Q2,2015-04-01,Other,9
VIC,2015Q3,2015-07-01,Other,9
VIC,2015Q4,2015-10-01,Other,6
VIC,2016Q1,2016-01-01,Other,5
VIC,2016Q2,2016-04-01,Other,5
VIC,2016Q3,2016-07-01,Other,6
VIC,2016Q4,2016-10-01,Other,8
VIC,2017Q1,2017-01-01,Other,7
VIC,2017Q2,2017-04-01,Other,7
VIC,2017Q3,2017-07-01,Other,4
VIC,2017Q4,2017-10-01,Other,10
VIC,2018Q1,2018-01-01,Other,6
VIC,2018Q2,2018-04-01,Other,4
VIC,2018Q3,2018-07-01,Other,6
VIC,2018Q4,2018-10-01,Other,10
VIC,2019Q1,2019-01-01,Other,3
VIC,2019Q2,2019-04-01,Other,6
VIC,2019Q3,2019-07-01,Other,7
VIC,2019Q4,2019-10-01,Other,1
VIC,2020Q1,2020-01-01,Other,9
VIC,2020Q2,2020-04-01,Other,5
VIC,2020Q3,2020-07-01,Other,2
VIC,2020Q4,2020-10-01,Other,7
VIC,2021Q1,2021-01-01,Other,1
VIC,2021Q2,2021-04-01,Other,7
VIC,2021Q3,2021-07-01,Other,4
VIC,2021Q4,2021-10-01,Other,3
VIC,2022Q1,2022-01-01,Other,6
VIC,2022Q2,2022-04-01,Other,4
VIC,2022Q3,2022-07-01,Other,5
VIC,2022Q4,2022-10-01,Other,6
QLD,2013Q1,2013-01-01,MSM,33
QLD,2013Q2,2013-04-01,MSM,47
QLD,2013Q3,2013-07-01,MSM,30
QLD,2013Q4,2013-10-01,MSM,42
QLD,2014Q1,2014-01-01,MSM,40
QLD,2014Q2,2014-04-01,MSM,34
QLD,2014Q3,2014-07-01,MSM,42
QLD,2014Q4,2014-10-01,MSM,36
QLD,2015Q1,2015-01-01,MSM,44
QLD,2015Q2,2015-04-01,MSM,44
QLD,2015Q3,2015-07-01,MSM,35
QLD,2015Q4,2015-10-01,MSM,31
QLD,2016Q1,2016-01-01,MSM,35
QLD,2016Q2,2016-04-01,MSM,43
QLD,2016Q3,2016-07-01,MSM,31
QLD,2016Q4,2016-10-01,MSM,37
QLD,2017Q1,2017-01-01,MSM,31
QLD,2017Q2,2017-04-01,MSM,38
QLD,2017Q3,2017-07-01,MSM,33
QLD,2017Q4,2017-10-01,MSM,31
QLD,2018Q1,2018-01-01,MSM,31
QLD,2018Q2,2018-04-01,MSM,32
QLD,2018Q3,2018-07-01,MSM,30
QLD,2018Q4,2018-10-01,MSM,22
QLD,2019Q1,2019-01-01,MSM,33
QLD,2019Q2,2019-04-01,MSM,28
QLD,2019Q3,2019-07-01,MSM,27
QLD,2019Q4,2019-10-01,MSM,21
QLD,2020Q1,2020-01-01,MSM,19
QLD,2020Q2,2020-04-01,MSM,16
QLD,2020Q3,2020-07-01,MSM,12
QLD,2020Q4,2020-10-01,MSM,14
QLD,2021Q1,2021-01-01,MSM,16
QLD,2021Q2,2021-04-01,MSM,16
QLD,2021Q3,2021-07-01,MSM,18
QLD,2021Q4,2021-10-01,MSM,19
QLD,2022Q1,2022-01-01,MSM,16
QLD,2022Q2,2022-04-01,MSM,26
QLD,2022Q3,2022-07-01,MSM,20
QLD,2022Q4,2022-10-01,MSM,17
QLD,2013Q1,2013-01-01,Heterosexual,12
QLD,2013Q2,2013-04-01,Heterosexual,20
QLD,2013Q3,2013-07-01,Heterosexual,10
QLD,2013Q4,2013-10-01,Heterosexual,17
QLD,2014Q1,2014-01-01,Heterosexual,17
QLD,2014Q2,2014-04-01,Heterosexual,13
QLD,2014Q3,2014-07-01,Heterosexual,13
QLD,2014Q4,2014-10-01,Heterosexual,14
QLD,2015Q1,2015-01-01,Heterosexual,9
QLD,2015Q2,2015-04-01,Heterosexual,13
QLD,2015Q3,2015-07-01,Heterosexual,13
QLD,2015Q4,2015-10-01,Heterosexual,14
QLD,2016Q1,2016-01-01,Heterosexual,17
QLD,2016Q2,2016-04-01,Heterosexual,14
QLD,2016Q3,2016-07-01,Heterosexual,10
QLD,2016Q4,2016-10-01,Heterosexual,9
QLD,2017Q1,2017-01-01,Heterosexual,7
QLD,2017Q2,2017-04-01,Heterosexual,10
QLD,2017Q3,2017-07-01,Heterosexual,10
QLD,2017Q4,2017-10-01,Heterosexual,6
QLD,2018Q1,2018-01-01,Heterosexual,13
QLD,2018Q2,2018-04-01,Heterosexual,14
QLD,2018Q3,2018-07-01,Heterosexual,9
QLD,2018Q4,2018-10-01,Heterosexual,11
QLD,2019Q1,2019-01-01,Heterosexual,12
QLD,2019Q2,2019-04-01,Heterosexual,11
QLD,2019Q3,2019-07-01,Heterosexual,11
QLD,2019Q4,2019-10-01,Heterosexual,7
QLD,2020Q1,2020-01-01,Heterosexual,17
QLD,2020Q2,2020-04-01,Heterosexual,12
QLD,2020Q3,2020-07-01,Heterosexual,9
QLD,2020Q4,2020-10-01,Heterosexual,8
QLD,2021Q1,2021-01-01,Heterosexual,11
QLD,2021Q2,2021-04-01,Heterosexual,5
QLD,2021Q3,2021-07-01,Heterosexual,15
QLD,2021Q4,2021-10-01,Heterosexual,11
QLD,2022Q1,2022-01-01,Heterosexual,11
QLD,2022Q2,2022-04-01,Heterosexual,15
QLD,2022Q3,2022-07-01,Heterosexual,7
QLD,2022Q4,2022-10-01,Heterosexual,13
QLD,2013Q1,2013-01-01,Other,5
QLD,2013Q2,2013-04-01,Other,5
QLD,2013Q3,2013-07-01,Other,4
QLD,2013Q4,2013-10-01,Other,1
QLD,2014Q1,2014-01-01,Other,6
QLD,2014Q2,2014-04-01,Other,7
QLD,2014Q3,2014-07-01,Other,5
QLD,2014Q4,2014-10-01,Other,6
QLD,2015Q1,2015-01-01,Other,5
QLD,2015Q2,2015-04-01,Other,11
QLD,2015Q3,2015-07-01,Other,5
QLD,2015Q4,2015-10-01,Other,2
QLD,2016Q1,2016-01-01,Other,7
QLD,2016Q2,2016-04-01,Other,6
QLD,2016Q3,2016-07-01,Other,7
QLD,2016Q4,2016-10-01,Other,2
QLD,2017Q1,2017-01-01,Other,6
QLD,2017Q2,2017-04-01,Other,7
QLD,2017Q3,2017-07-01,Other,3
QLD,2017Q4,2017-10-01,Other,4
QLD,2018Q1,2018-01-01,Other,4
QLD,2018Q2,2018-04-01,Other,5
QLD,2018Q3,2018-07-01,Other,8
QLD,2018Q4,2018-10-01,Other,2
QLD,2019Q1,2019-01-01,Other,4
QLD,2019Q2,2019-04-01,Other,5
QLD,2019Q3,2019-07-01,Other,7
QLD,2019Q4,2019-10-01,Other,3
QLD,2020Q1,2020-01-01,Other,4
QLD,2020Q2,2020-04-01,Other,8
QLD,2020Q3,2020-07-01,Other,3
QLD,2020Q4,2020-10-01,Other,4
QLD,2021Q1,2021-01-01,Other,5
QLD,2021Q2,2021-04-01,Other,7
QLD,2021Q3,2021-07-01,Other,5
QLD,2021Q4,2021-10-01,Other,8
QLD,2022Q1,2022-01-01,Other,6
QLD,2022Q2,2022-04-01,Other,5
QLD,2022Q3,2022-07-01,Other,2
QLD,2022Q4,2022-10-01,Other,3
WA,2013Q1,2013-01-01,MSM,21
WA,2013Q2,2013-04-01,MSM,25
WA,2013Q3,2013-07-01,MSM,17
WA,2013Q4,2013-10-01,MSM,25
WA,2014Q1,2014-01-01,MSM,21
WA,2014Q2,2014-04-01,MSM,26
WA,2014Q3,2014-07-01,MSM,21
WA,2014Q4,2014-10-01,MSM,20
WA,2015Q1,2015-01-01,MSM,24
WA,2015Q2,2015-04-01,MSM,18
WA,2015Q3,2015-07-01,MSM,16
WA,2015Q4,2015-10-01,MSM,22
WA,2016Q1,2016-01-01,MSM,24
WA,2016Q2,2016-04-01,MSM,19
WA,2016Q3,2016-07-01,MSM,17
WA,2016Q4,2016-10-01,MSM,23
WA,2017Q1,2017-01-01,MSM,22
WA,2017Q2,2017-04-01,MSM,15
WA,2017Q3,2017-07-01,MSM,14
WA,2017Q4,2017-10-01,MSM,23
WA,2018Q1,2018-01-01,MSM,14
WA,2018Q2,2018-04-01,MSM,21
WA,2018Q3,2018-07-01,MSM,15
WA,2018Q4,2018-10-01,MSM,11
WA,2019Q1,2019-01-01,MSM,11
WA,2019Q2,2019-04-01,MSM,15
WA,2019Q3,2019-07-01,MSM,11
WA,2019Q4,2019-10-01,MSM,13
WA,2020Q1,2020-01-01,MSM,10
WA,2020Q2,2020-04-01,MSM,9
WA,2020Q3,2020-07-01,MSM,13
WA,2020Q4,2020-10-01,MSM,10
WA,2021Q1,2021-01-01,MSM,11
WA,2021Q2,2021-04-01,MSM,11
WA,2021Q3,2021-07-01,MSM,7
WA,2021Q4,2021-10-01,MSM,11
WA,2022Q1,2022-01-01,MSM,8
WA,2022Q2,2022-04-01,MSM,6
WA,2022Q3,2022-07-01,MSM,5
WA,2022Q4,2022-10-01,MSM,8
WA,2013Q1,2013-01-01,Heterosexual,9
WA,2013Q2,2013-04-01,Heterosexual,5
WA,2013Q3,2013-07-01,Heterosexual,5
WA,2013Q4,2013-10-01,Heterosexual,9
WA,2014Q1,2014-01-01,Heterosexual,5
WA,2014Q2,2014-04-01,Heterosexual,3
WA,2014Q3,2014-07-01,Heterosexual,11
WA,2014Q4,2014-10-01,Heterosexual,7
WA,2015Q1,2015-01-01,Heterosexual,6
WA,2015Q2,2015-04-01,Heterosexual,5
WA,2015Q3,2015-07-01,Heterosexual,7
WA,2015Q4,2015-10-01,Heterosexual,6
WA,2016Q1,2016-01-01,Heterosexual,5
WA,2016Q2,2016-04-01,Heterosexual,8
WA,2016Q3,2016-07-01,Heterosexual,4
WA,2016Q4,2016-10-01,Heterosexual,3
WA,2017Q1,2017-01-01,Heterosexual,1
WA,2017Q2,2017-04-01,Heterosexual,11
WA,2017Q3,2017-07-01,Heterosexual,9
WA,2017Q4,2017-10-01,Heterosexual,9
WA,2018Q1,2018-01-01,Heterosexual,7
WA,2018Q2,2018-04-01,Heterosexual,4
WA,2018Q3,2018-07-01,Heterosexual,3
WA,2018Q4,2018-10-01,Heterosexual,7
WA,2019Q1,2019-01-01,Heterosexual,10
WA,2019Q2,2019-04-01,Heterosexual,5
WA,2019Q3,2019-07-01,Heterosexual,3
WA,2019Q4,2019-10-01,Heterosexual,4
WA,2020Q1,2020-01-01,Heterosexual,7
WA,2020Q2,2020-04-01,Heterosexual,6
WA,2020Q3,2020-07-01,Heterosexual,4
WA,2020Q4,2020-10-01,Heterosexual,5
WA,2021Q1,2021-01-01,Heterosexual,6
WA,2021Q2,2021-04-01,Heterosexual,4
WA,2021Q3,2021-07-01,Heterosexual,6
WA,2021Q4,2021-10-01,Heterosexual,7
WA,2022Q1,2022-01-01,Heterosexual,5
WA,2022Q2,2022-04-01,Heterosexual,12
WA,2022Q3,2022-07-01,Heterosexual,3
WA,2022Q4,2022-10-01,Heterosexual,3
WA,2013Q1,2013-01-01,Other,2
WA,2013Q2,2013-04-01,Other,2
WA,2013Q3,2013-07-01,Other,2
WA,2013Q4,2013-10-01,Other,2
WA,2014Q1,2014-01-01,Other,3
WA,2014Q2,2014-04-01,Other,1
WA,2014Q3,2014-07-01,Other,2
WA,2014Q4,2014-10-01,Other,2
WA,2015Q1,2015-01-01,Other,7
WA,2015Q2,2015-04-01,Other,4
WA,2015Q3,2015-07-01,Other,2
WA,2015Q4,2015-10-01,Other,2
WA,2016Q1,2016-01-01,Other,4
WA,2016Q2,2016-04-01,Other,3
WA,2016Q3,2016-07-01,Other,2
WA,2016Q4,2016-10-01,Other,2
WA,2017Q1,2017-01-01,Other,4
WA,2017Q2,2017-04-01,Other,2
WA,2017Q3,2017-07-01,Other,2
WA,2017Q4,2017-10-01,Other,2
WA,2018Q1,2018-01-01,Other,6
WA,2018Q2,2018-04-01,Other,2
WA,2018Q3,2018-07-01,Other,5
WA,2018Q4,2018-10-01,Other,0
WA,2019Q1,2019-01-01,Other,2
WA,2019Q2,2019-04-01,Other,4
WA,2019Q3,2019-07-01,Other,2
WA,2019Q4,2019-10-01,Other,6
WA,2020Q1,2020-01-01,Other,2
WA,2020Q2,2020-04-01,Other,3
WA,2020Q3,2020-07-01,Other,0
WA,2020Q4,2020-10-01,Other,0
WA,2021Q1,2021-01-01,Other,4
WA,2021Q2,2021-04-01,Other,0
WA,2021Q3,2021-07-01,Other,1
WA,2021Q4,2021-10-01,Other,3
WA,2022Q1,2022-01-01,Other,1
WA,2022Q2,2022-04-01,Other,2
WA,2022Q3,2022-07-01,Other,0
WA,2022Q4,2022-10-01,Other,1
SA,2013Q1,2013-01-01,MSM,19
SA,2013Q2,2013-04-01,MSM,12
SA,2013Q3,2013-07-01,MSM,11
SA,2013Q4,2013-10-01,MSM,13
SA,2014Q1,2014-01-01,MSM,16
SA,2014Q2,2014-04-01,MSM,10
SA,2014Q3,2014-07-01,MSM,19
SA,2014Q4,2014-10-01,MSM,8
SA,2015Q1,2015-01-01,MSM,10
SA,2015Q2,2015-04-01,MSM,15
SA,2015Q3,2015-07-01,MSM,11
SA,2015Q4,2015-10-01,MSM,14
SA,2016Q1,2016-01-01,MSM,13
SA,2016Q2,2016-04-01,MSM,15
SA,2016Q3,2016-07-01,MSM,13
SA,2016Q4,2016-10-01,MSM,11
SA,2017Q1,2017-01-01,MSM,8
SA,2017Q2,2017-04-01,MSM,17
SA,2017Q3,2017-07-01,MSM,12
SA,2017Q4,2017-10-01,MSM,14
SA,2018Q1,2018-01-01,MSM,13
SA,2018Q2,2018-04-01,MSM,16
SA,2018Q3,2018-07-01,MSM,13
SA,2018Q4,2018-10-01,MSM,11
SA,2019Q1,2019-01-01,MSM,8
SA,2019Q2,2019-04-01,MSM,7
SA,2019Q3,2019-07-01,MSM,8
SA,2019Q4,2019-10-01,MSM,8
SA,2020Q1,2020-01-01,MSM,6
SA,2020Q2,2020-04-01,MSM,5
SA,2020Q3,2020-07-01,MSM,1
SA,2020Q4,2020-10-01,MSM,6
SA,2021Q1,2021-01-01,MSM,7
SA,2021Q2,2021-04-01,MSM,2
SA,2021Q3,2021-07-01,MSM,5
SA,2021Q4,2021-10-01,MSM,5
SA,2022Q1,2022-01-01,MSM,12
SA,2022Q2,2022-04-01,MSM,7
SA,2022Q3,2022-07-01,MSM,3
SA,2022Q4,2022-10-01,MSM,3
SA,2013Q1,2013-01-01,Heterosexual,2
SA,2013Q2,2013-04-01,Heterosexual,6
SA,2013Q3,2013-07-01,Heterosexual,2
SA,2013Q4,2013-10-01,Heterosexual,5
SA,2014Q1,2014-01-01,Heterosexual,4
SA,2014Q2,2014-04-01,Heterosexual,3
SA,2014Q3,2014-07-01,Heterosexual,3
SA,2014Q4,2014-10-01,Heterosexual,2
SA,2015Q1,2015-01-01,Heterosexual,6
SA,2015Q2,2015-04-01,Heterosexual,6
SA,2015Q3,2015-07-01,Heterosexual,4
SA,2015Q4,2015-10-01,Heterosexual,4
SA,2016Q1,2016-01-01,Heterosexual,5
SA,2016Q2,2016-04-01,Heterosexual,3
SA,2016Q3,2016-07-01,Heterosexual,1
SA,2016Q4,2016-10-01,Heterosexual,5
SA,2017Q1,2017-01-01,Heterosexual,4
SA,2017Q2,2017-04-01,Heterosexual,5
SA,2017Q3,2017-07-01,Heterosexual,1
SA,2017Q4,2017-10-01,Heterosexual,8
SA,2018Q1,2018-01-01,Heterosexual,2
SA,2018Q2,2018-04-01,Heterosexual,7
SA,2018Q3,2018-07-01,Heterosexual,3
SA,2018Q4,2018-10-01,Heterosexual,4
SA,2019Q1,2019-01-01,Heterosexual,2
SA,2019Q2,2019-04-01,Heterosexual,2
SA,2019Q3,2019-07-01,Heterosexual,3
SA,2019Q4,2019-10-01,Heterosexual,7
SA,2020Q1,2020-01-01,Heterosexual,5
SA,2020Q2,2020-04-01,Heterosexual,7
SA,2020Q3,2020-07-01,Heterosexual,3
SA,2020Q4,2020-10-01,Heterosexual,1
SA,2021Q1,2021-01-01,Heterosexual,7
SA,2021Q2,2021-04-01,Heterosexual,4
SA,2021Q3,2021-07-01,Heterosexual,5
SA,2021Q4,2021-10-01,Heterosexual,3
SA,2022Q1,2022-01-01,Heterosexual,1
SA,2022Q2,2022-04-01,Heterosexual,6
SA,2022Q3,2022-07-01,Heterosexual,5
SA,2022Q4,2022-10-01,Heterosexual,4
SA,2013Q1,2013-01-01,Other,2
SA,2013Q2,2013-04-01,Other,1
SA,2013Q3,2013-07-01,Other,4
SA,2013Q4,2013-10-01,Other,1
SA,2014Q1,2014-01-01,Other,0
SA,2014Q2,2014-04-01,Other,2
SA,2014Q3,2014-07-01,Other,1
SA,2014Q4,2014-10-01,Other,1
SA,2015Q1,2015-01-01,Other,3
SA,2015Q2,2015-04-01,Other,1
SA,2015Q3,2015-07-01,Other,1
SA,2015Q4,2015-10-01,Other,0
SA,2016Q1,2016-01-01,Other,5
SA,2016Q2,2016-04-01,Other,3
SA,2016Q3,2016-07-01,Other,0
SA,2016Q4,2016-10-01,Other,1
SA,2017Q1,2017-01-01,Other,1
SA,2017Q2,2017-04-01,Other,0
SA,2017Q3,2017-07-01,Other,1
SA,2017Q4,2017-10-01,Other,1
SA,2018Q1,2018-01-01,Other,2
SA,2018Q2,2018-04-01,Other,1
SA,2018Q3,2018-07-01,Other,2
SA,2018Q4,2018-10-01,Other,3
SA,2019Q1,2019-01-01,Other,0
SA,2019Q2,2019-04-01,Other,1
SA,2019Q3,2019-07-01,Other,2
SA,2019Q4,2019-10-01,Other,4
SA,2020Q1,2020-01-01,Other,0
SA,2020Q2,2020-04-01,Other,2
SA,2020Q3,2020-07-01,Other,3
SA,2020Q4,2020-10-01,Other,2
SA,2021Q1,2021-01-01,Other,1
SA,2021Q2,2021-04-01,Other,2
SA,2021Q3,2021-07-01,Other,0
SA,2021Q4,2021-10-01,Other,1
SA,2022Q1,2022-01-01,Other,3
SA,2022Q2,2022-04-01,Other,1
SA,2022Q3,2022-07-01,Other,2
