state,exposure_category,year,quarter,period,date,hiv_notifications
ACT,MSM,2014,4,2014Q4,2014-10-01,2
ACT,MSM,2015,1,2015Q1,2015-01-01,3
ACT,MSM,2015,2,2015Q2,2015-04-01,9
ACT,MSM,2015,3,2015Q3,2015-07-01,3
ACT,MSM,2015,4,2015Q4,2015-10-01,1
ACT,MSM,2016,1,2016Q1,2016-01-01,2
ACT,MSM,2016,2,2016Q2,2016-04-01,3
ACT,MSM,2016,3,2016Q3,2016-07-01,7
ACT,MSM,2016,4,2016Q4,2016-10-01,1
ACT,MSM,2017,1,2017Q1,2017-01-01,5
ACT,MSM,2017,2,2017Q2,2017-04-01,1
ACT,MSM,2017,3,2017Q3,2017-07-01,5
ACT,MSM,2017,4,2017Q4,2017-10-01,2
ACT,MSM,2018,1,2018Q1,2018-01-01,1
ACT,MSM,2018,2,2018Q2,2018-04-01,1
ACT,MSM,2018,3,2018Q3,2018-07-01,8
ACT,MSM,2018,4,2018Q4,2018-10-01,2
ACT,MSM,2019,1,2019Q1,2019-01-01,3
ACT,MSM,2019,2,2019Q2,2019-04-01,5
ACT,MSM,2019,3,2019Q3,2019-07-01,3
ACT,MSM,2019,4,2019Q4,2019-10-01,3
ACT,MSM,2020,1,2020Q1,2020-01-01,1
ACT,MSM,2020,2,2020Q2,2020-04-01,3
ACT,MSM,2020,3,2020Q3,2020-07-01,4
ACT,MSM,2020,4,2020Q4,2020-10-01,3
ACT,MSM,2021,1,2021Q1,2021-01-01,3
ACT,MSM,2021,2,2021Q2,2021-04-01,1
ACT,MSM,2021,3,2021Q3,2021-07-01,3
ACT,MSM,2021,4,2021Q4,2021-10-01,0
ACT,MSM,2022,1,2022Q1,2022-01-01,6
ACT,MSM,2022,2,2022Q2,2022-04-01,2
ACT,MSM,2022,3,2022Q3,2022-07-01,3
ACT,MSM,2022,4,2022Q4,2022-10-01,2
ACT,Other,2013,1,2013Q1,2013-01-01,0
ACT,Other,2013,2,2013Q2,2013-04-01,0
ACT,Other,2013,3,2013Q3,2013-07-01,3
ACT,Other,2013,4,2013Q4,2013-10-01,0
ACT,Other,2014,1,2014Q1,2014-01-01,1
ACT,Other,2014,2,2014Q2,2014-04-01,0
ACT,Other,2014,3,2014Q3,2014-07-01,1
ACT,Other,2014,4,2014Q4,2014-10-01,1
ACT,Other,2015,1,2015Q1,2015-01-01,0
ACT,Other,2015,2,2015Q2,2015-04-01,0
ACT,Other,2015,3,2015Q3,2015-07-01,0
ACT,Other,2015,4,2015Q4,2015-10-01,0
ACT,Other,2016,1,2016Q1,2016-01-01,1
ACT,Other,2016,2,2016Q2,2016-04-01,0
ACT,Other,2016,3,2016Q3,2016-07-01,1
ACT,Other,2016,4,2016Q4,2016-10-01,1
ACT,Other,2017,1,2017Q1,2017-01-01,1
ACT,Other,2017,2,2017Q2,2017-04-01,0
ACT,Other,2017,3,2017Q3,2017-07-01,0
ACT,Other,2017,4,2017Q4,2017-10-01,1
ACT,Other,2018,1,2018Q1,2018-01-01,0
ACT,Other,2018,2,2018Q2,2018-04-01,0
ACT,Other,2018,3,2018Q3,2018-07-01,1
ACT,Other,2018,4,2018Q4,2018-10-01,0
ACT,Other,2019,1,2019Q1,2019-01-01,4
ACT,Other,2019,2,2019Q2,2019-04-01,1
ACT,Other,2019,3,2019Q3,2019-07-01,0
ACT,Other,2019,4,2019Q4,2019-10-01,0
ACT,Other,2020,1,2020Q1,2020-01-01,1
ACT,Other,2020,2,2020Q2,2020-04-01,1
ACT,Other,2020,3,2020Q3,2020-07-01,0
ACT,Other,2020,4,2020Q4,2020-10-01,0
ACT,Other,2021,1,2021Q1,2021-01-01,0
ACT,Other,2021,2,2021Q2,2021-04-01,0
ACT,Other,2021,3,2021Q3,2021-07-01,0
ACT,Other,2021,4,2021Q4,2021-10-01,1
ACT,Other,2022,1,2022Q1,2022-01-01,0
ACT,Other,2022,2,2022Q2,2022-04-01,0
ACT,Other,2022,3,2022Q3,2022-07-01,0
ACT,Other,2022,4,2022Q4,2022-10-01,0
NSW,Heterosexual,2013,1,2013Q1,2013-01-01,20
NSW,Heterosexual,2013,2,2013Q2,2013-04-01,11
NSW,Heterosexual,2013,3,2013Q3,2013-07-01,21
NSW,Heterosexual,2013,4,2013Q4,2013-10-01,18
NSW,Heterosexual,2014,1,2014Q1,2014-01-01,26
NSW,Heterosexual,2014,2,2014Q2,2014-04-01,18
NSW,Heterosexual,2014,3,2014Q3,2014-07-01,12
NSW,Heterosexual,2014,4,2014Q4,2014-10-01,16
NSW,Heterosexual,2015,1,2015Q1,2015-01-01,11
NSW,Heterosexual,2015,2,2015Q2,2015-04-01,14
NSW,Heterosexual,2015,3,2015Q3,2015-07-01,16
NSW,Heterosexual,2015,4,2015Q4,2015-10-01,19
NSW,Heterosexual,2016,1,2016Q1,2016-01-01,16
NSW,Heterosexual,2016,2,2016Q2,2016-04-01,18
NSW,Heterosexual,2016,3,2016Q3,2016-07-01,16
NSW,Heterosexual,2016,4,2016Q4,2016-10-01,18
NSW,Heterosexual,2017,1,2017Q1,2017-01-01,19
NSW,Heterosexual,2017,2,2017Q2,2017-04-01,19
NSW,Heterosexual,2017,3,2017Q3,2017-07-01,20
NSW,Heterosexual,2017,4,2017Q4,2017-10-01,16
NSW,Heterosexual,2018,1,2018Q1,2018-01-01,15
NSW,Heterosexual,2018,2,2018Q2,2018-04-01,24
NSW,Heterosexual,2018,3,2018Q3,2018-07-01,17
NSW,Heterosexual,2018,4,2018Q4,2018-10-01,14
NSW,Heterosexual,2019,1,2019Q1,2019-01-01,16
NSW,Heterosexual,2019,2,2019Q2,2019-04-01,8
NSW,Heterosexual,2019,3,2019Q3,2019-07-01,14
NSW,Heterosexual,2019,4,2019Q4,2019-10-01,14
NSW,Heterosexual,2020,1,2020Q1,2020-01-01,21
NSW,Heterosexual,2020,2,2020Q2,2020-04-01,11
NSW,Heterosexual,2020,3,2020Q3,2020-07-01,10
NSW,Heterosexual,2020,4,2020Q4,2020-10-01,19
NSW,Heterosexual,2021,1,2021Q1,2021-01-01,18
NSW,Heterosexual,2021,2,2021Q2,2021-04-01,15
NSW,Heterosexual,2021,3,2021Q3,2021-07-01,16
NSW,Heterosexual,2021,4,2021Q4,2021-10-01,11
NSW,Heterosexual,2022,1,2022Q1,2022-01-01,14
NSW,Heterosexual,2022,2,2022Q2,2022-04-01,19
NSW,Heterosexual,2022,3,2022Q3,2022-07-01,15
NSW,Heterosexual,2022,4,2022Q4,2022-10-01,6
NSW,MSM,2013,1,2013Q1,2013-01-01,62
NSW,MSM,2013,2,2013Q2,2013-04-01,61
NSW,MSM,2013,3,2013Q3,2013-07-01,58
NSW,MSM,2013,4,2013Q4,2013-10-01,65
NSW,MSM,2014,1,2014Q1,2014-01-01,59
NSW,MSM,2014,2,2014Q2,2014-04-01,73
NSW,MSM,2014,3,2014Q3,2014-07-01,48
NSW,MSM,2014,4,2014Q4,2014-10-01,62
NSW,MSM,2015,1,2015Q1,2015-01-01,65
NSW,MSM,2015,2,2015Q2,2015-04-01,54
NSW,MSM,2015,3,2015Q3,2015-07-01,64
NSW,MSM,2015,4,2015Q4,2015-10-01,54
NSW,MSM,2016,1,2016Q1,2016-01-01,49
NSW,MSM,2016,2,2016Q2,2016-04-01,71
NSW,MSM,2016,3,2016Q3,2016-07-01,52
NSW,MSM,2016,4,2016Q4,2016-10-01,55
NSW,MSM,2017,1,2017Q1,2017-01-01,59
NSW,MSM,2017,2,2017Q2,2017-04-01,41
NSW,MSM,2017,3,2017Q3,2017-07-01,52
NSW,MSM,2017,4,2017Q4,2017-10-01,50
NSW,MSM,2018,1,2018Q1,2018-01-01,54
NSW,MSM,2018,2,2018Q2,2018-04-01,45
NSW,MSM,2018,3,2018Q3,2018-07-01,41
NSW,MSM,2018,4,2018Q4,2018-10-01,50
NSW,MSM,2019,1,2019Q1,2019-01-01,39
NSW,MSM,2019,2,2019Q2,2019-04-01,46
NSW,MSM,2019,3,2019Q3,2019-07-01,34
NSW,MSM,2019,4,2019Q4,2019-10-01,35
NSW,MSM,2020,1,2020Q1,2020-01-01,43
NSW,MSM,2020,2,2020Q2,2020-04-01,41
NSW,MSM,2020,3,2020Q3,2020-07-01,35
NSW,MSM,2020,4,2020Q4,2020-10-01,53
NSW,MSM,2021,1,2021Q1,2021-01-01,45
NSW,MSM,2021,2,2021Q2,2021-04-01,24
NSW,MSM,2021,3,2021Q3,2021-07-01,29
NSW,MSM,2021,4,2021Q4,2021-10-01,39
NSW,MSM,2022,1,2022Q1,2022-01-01,41
NSW,MSM,2022,2,2022Q2,2022-04-01,39
NSW,MSM,2022,3,2022Q3,2022-07-01,30
NSW,MSM,2022,4,2022Q4,2022-10-01,22
NSW,Other,2013,1,2013Q1,2013-01-01,8
NSW,Other,2013,2,2013Q2,2013-04-01,10
NSW,Other,2013,3,2013Q3,2013-07-01,10
NSW,Other,2013,4,2013Q4,2013-10-01,5
NSW,Other,2014,1,2014Q1,2014-01-01,6
NSW,Other,2014,2,2014Q2,2014-04-01,16
NSW,Other,2014,3,2014Q3,2014-07-01,6
NSW,Other,2014,4,2014Q4,2014-10-01,8
NSW,Other,2015,1,2015Q1,2015-01-01,8
NSW,Other,2015,2,2015Q2,2015-04-01,4
NSW,Other,2015,3,2015Q3,2015-07-01,8
NSW,Other,2015,4,2015Q4,2015-10-01,7
NSW,Other,2016,1,2016Q1,2016-01-01,11
NSW,Other,2016,2,2016Q2,2016-04-01,5
NSW,Other,2016,3,2016Q3,2016-07-01,7
NSW,Other,2016,4,2016Q4,2016-10-01,10
NSW,Other,2017,1,2017Q1,2017-01-01,12
NSW,Other,2017,2,2017Q2,2017-04-01,8
NSW,Other,2017,3,2017Q3,2017-07-01,4
NSW,Other,2017,4,2017Q4,2017-10-01,4
NSW,Other,2018,1,2018Q1,2018-01-01,5
NSW,Other,2018,2,2018Q2,2018-04-01,2
NSW,Other,2018,3,2018Q3,2018-07-01,2
NSW,Other,2018,4,2018Q4,2018-10-01,8
NSW,Other,2019,1,2019Q1,2019-01-01,7
NSW,Other,2019,2,2019Q2,2019-04-01,3
NSW,Other,2019,3,2019Q3,2019-07-01,3
NSW,Other,2019,4,2019Q4,2019-10-01,4
NSW,Other,2020,1,2020Q1,2020-01-01,12
NSW,Other,2020,2,2020Q2,2020-04-01,6
NSW,Other,2020,3,2020Q3,2020-07-01,4
NSW,Other,2020,4,2020Q4,2020-10-01,7
NSW,Other,2021,1,2021Q1,2021-01-01,3
NSW,Other,2021,2,2021Q2,2021-04-01,8
NSW,Other,2021,3,2021Q3,2021-07-01,6
NSW,Other,2021,4,2021Q4,2021-10-01,12
NSW,Other,2022,1,2022Q1,2022-01-01,7
NSW,Other,2022,2,2022Q2,2022-04-01,9
NSW,Other,2022,3,2022Q3,2022-07-01,10
NSW,Other,2022,4,2022Q4,2022-10-01,7
NT,Heterosexual,2013,1,2013Q1,2013-01-01,1
NT,Heterosexual,2013,2,2013Q2,2013-04-01,0
NT,Heterosexual,2013,3,2013Q3,2013-07-01,1
NT,Heterosexual,2013,4,2013Q4,2013-10-01,0
NT,Heterosexual,2014,1,2014Q1,2014-01-01,0
NT,Heterosexual,2014,2,2014Q2,2014-04-01,1
NT,Heterosexual,2014,3,2014Q3,2014-07-01,0
NT,Heterosexual,2014,4,2014Q4,2014-10-01,0
NT,Heterosexual,2015,1,2015Q1,2015-01-01,0
NT,Heterosexual,2015,2,2015Q2,2015-04-01,0
NT,Heterosexual,2015,3,2015Q3,2015-07-01,0
NT,Heterosexual,2015,4,2015Q4,2015-10-01,0
NT,Heterosexual,2016,1,2016Q1,2016-01-01,0
NT,Heterosexual,2016,2,2016Q2,2016-04-01,1
NT,Heterosexual,2016,3,2016Q3,2016-07-01,0
NT,Heterosexual,2016,4,2016Q4,2016-10-01,3
NT,Heterosexual,2017,1,2017Q1,2017-01-01,0
NT,Heterosexual,2017,2,2017Q2,2017-04-01,0
NT,Heterosexual,2017,3,2017Q3,2017-07-01,0
NT,Heterosexual,2017,4,2017Q4,2017-10-01,0
NT,Heterosexual,2018,1,2018Q1,2018-01-01,1
NT,Heterosexual,2018,2,2018Q2,2018-04-01,1
NT,Heterosexual,2018,3,2018Q3,2018-07-01,0
NT,Heterosexual,2018,4,2018Q4,2018-10-01,2
NT,Heterosexual,2019,1,2019Q1,2019-01-01,1
NT,Heterosexual,2019,2,2019Q2,2019-04-01,0
NT,Heterosexual,2019,3,2019Q3,2019-07-01,1
NT,Heterosexual,2019,4,2019Q4,2019-10-01,0
NT,Heterosexual,2020,1,2020Q1,2020-01-01,0
NT,Heterosexual,2020,2,2020Q2,2020-04-01,0
NT,Heterosexual,2020,3,2020Q3,2020-07-01,0
NT,Heterosexual,2020,4,2020Q4,2020-10-01,0
NT,Heterosexual,2021,1,2021Q1,2021-01-01,2
NT,Heterosexual,2021,2,2021Q2,2021-04-01,0
NT,Heterosexual,2021,3,2021Q3,2021-07-01,1
NT,Heterosexual,2021,4,2021Q4,2021-10-01,1
NT,Heterosexual,2022,1,2022Q1,2022-01-01,0
NT,Heterosexual,2022,2,2022Q2,2022-04-01,0
NT,Heterosexual,2022,3,2022Q3,2022-07-01,0
NT,Heterosexual,2022,4,2022Q4,2022-10-01,0
NT,MSM,2013,1,2013Q1,2013-01-01,2
NT,MSM,2013,2,2013Q2,2013-04-01,1
NT,MSM,2013,3,2013Q3,2013-07-01,2
NT,MSM,2013,4,2013Q4,2013-10-01,2
NT,MSM,2014,1,2014Q1,2014-01-01,3
NT,MSM,2014,2,2014Q2,2014-04-01,3
NT,MSM,2014,3,2014Q3,2014-07-01,1
NT,MSM,2014,4,2014Q4,2014-10-01,4
NT,MSM,2015,1,2015Q1,2015-01-01,3
NT,MSM,2015,2,2015Q2,2015-04-01,5
NT,MSM,2015,3,2015Q3,2015-07-01,1
NT,MSM,2015,4,2015Q4,2015-10-01,1
NT,MSM,2016,1,2016Q1,2016-01-01,1
NT,MSM,2016,2,2016Q2,2016-04-01,2
NT,MSM,2016,3,2016Q3,2016-07-01,0
NT,MSM,2016,4,2016Q4,2016-10-01,3
NT,MSM,2017,1,2017Q1,2017-01-01,3
NT,MSM,2017,2,2017Q2,2017-04-01,2
NT,MSM,2017,3,2017Q3,2017-07-01,2
NT,MSM,2017,4,2017Q4,2017-10-01,0
NT,MSM,2018,1,2018Q1,2018-01-01,5
NT,MSM,2018,2,2018Q2,2018-04-01,0
NT,MSM,2018,3,2018Q3,2018-07-01,1
NT,MSM,2018,4,2018Q4,2018-10-01,1
NT,MSM,2019,1,2019Q1,2019-01-01,0
NT,MSM,2019,2,2019Q2,2019-04-01,1
NT,MSM,2019,3,2019Q3,2019-07-01,0
NT,MSM,2019,4,2019Q4,2019-10-01,1
NT,MSM,2020,1,2020Q1,2020-01-01,3
NT,MSM,2020,2,2020Q2,2020-04-01,1
NT,MSM,2020,3,2020Q3,2020-07-01,2
NT,MSM,2020,4,2020Q4,2020-10-01,1
NT,MSM,2021,1,2021Q1,2021-01-01,3
NT,MSM,2021,2,2021Q2,2021-04-01,2
NT,MSM,2021,3,2021Q3,2021-07-01,0
NT,MSM,2021,4,2021Q4,2021-10-01,2
NT,MSM,2022,1,2022Q1,2022-01-01,1
NT,MSM,2022,2,2022Q2,2022-04-01,1
NT,MSM,2022,3,2022Q3,2022-07-01,2
NT,MSM,2022,4,2022Q4,2022-10-01,0
NT,Other,2013,1,2013Q1,2013-01-01,0
NT,Other,2013,2,2013Q2,2013-04-01,1
NT,Other,2013,3,2013Q3,2013-07-01,0
NT,Other,2013,4,2013Q4,2013-10-01,1
NT,Other,2014,1,2014Q1,2014-01-01,0
NT,Other,2014,2,2014Q2,2014-04-01,0
NT,Other,2014,3,2014Q3,2014-07-01,1
NT,Other,2014,4,2014Q4,2014-10-01,2
NT,Other,2015,1,2015Q1,2015-01-01,3
NT,Other,2015,2,2015Q2,2015-04-01,1
NT,Other,2015,3,2015Q3,2015-07-01,1
NT,Other,2015,4,2015Q4,2015-10-01,1
NT,Other,2016,1,2016Q1,2016-01-01,1
NT,Other,2016,2,2016Q2,2016-04-01,3
NT,Other,2016,3,2016Q3,2016-07-01,1
NT,Other,2016,4,2016Q4,2016-10-01,2
NT,Other,2017,1,2017Q1,2017-01-01,0
NT,Other,2017,2,2017Q2,2017-04-01,0
NT,Other,2017,3,2017Q3,2017-07-01,1
NT,Other,2017,4,2017Q4,2017-10-01,1
NT,Other,2018,1,2018Q1,2018-01-01,0
NT,Other,2018,2,2018Q2,2018-04-01,0
NT,Other,2018,3,2018Q3,2018-07-01,0
NT,Other,2018,4,2018Q4,2018-10-01,1
NT,Other,2019,1,2019Q1,2019-01-01,0
NT,Other,2019,2,2019Q2,2019-04-01,1
NT,Other,2019,3,2019Q3,2019-07-01,1
NT,Other,2019,4,2019Q4,2019-10-01,0
NT,Other,2020,1,2020Q1,2020-01-01,0
NT,Other,2020,2,2020Q2,2020-04-01,0
NT,Other,2020,3,2020Q3,2020-07-01,0
NT,Other,2020,4,2020Q4,2020-10-01,1
NT,Other,2021,1,2021Q1,2021-01-01,0
NT,Other,2021,2,2021Q2,2021-04-01,0
NT,Other,2021,3,2021Q3,2021-07-01,0
NT,Other,2021,4,2021Q4,2021-10-01,1
NT,Other,2022,1,2022Q1,2022-01-01,1
NT,Other,2022,2,2022Q2,2022-04-01,0
NT,Other,2022,3,2022Q3,2022-07-01,0
NT,Other,2022,4,2022Q4,2022-10-01,0
QLD,Heterosexual,2013,1,2013Q1,2013-01-01,11
QLD,Heterosexual,2013,2,2013Q2,2013-04-01,11
QLD,Heterosexual,2013,3,2013Q3,2013-07-01,5
QLD,Heterosexual,2013,4,2013Q4,2013-10-01,8
QLD,Heterosexual,2014,1,2014Q1,2014-01-01,10
QLD,Heterosexual,2014,2,2014Q2,2014-04-01,11
QLD,Heterosexual,2014,3,2014Q3,2014-07-01,14
QLD,Heterosexual,2014,4,2014Q4,2014-10-01,14
QLD,Heterosexual,2015,1,2015Q1,2015-01-01,12
QLD,Heterosexual,2015,2,2015Q2,2015-04-01,12
QLD,Heterosexual,2015,3,2015Q3,2015-07-01,19
QLD,Heterosexual,2015,4,2015Q4,2015-10-01,10
QLD,Heterosexual,2016,1,2016Q1,2016-01-01,11
QLD,Heterosexual,2016,2,2016Q2,2016-04-01,10
QLD,Heterosexual,2016,3,2016Q3,2016-07-01,13
QLD,Heterosexual,2016,4,2016Q4,2016-10-01,7
QLD,Heterosexual,2017,1,2017Q1,2017-01-01,8
QLD,Heterosexual,2017,2,2017Q2,2017-04-01,18
QLD,Heterosexual,2017,3,2017Q3,2017-07-01,7
QLD,Heterosexual,2017,4,2017Q4,2017-10-01,13
QLD,Heterosexual,2018,1,2018Q1,2018-01-01,7
QLD,Heterosexual,2018,2,2018Q2,2018-04-01,10
QLD,Heterosexual,2018,3,2018Q3,2018-07-01,8
QLD,Heterosexual,2018,4,2018Q4,2018-10-01,6
QLD,Heterosexual,2019,1,2019Q1,2019-01-01,12
QLD,Heterosexual,2019,2,2019Q2,2019-04-01,10
QLD,Heterosexual,2019,3,2019Q3,2019-07-01,10
QLD,Heterosexual,2019,4,2019Q4,2019-10-01,7
QLD,Heterosexual,2020,1,2020Q1,2020-01-01,7
QLD,Heterosexual,2020,2,2020Q2,2020-04-01,9
QLD,Heterosexual,2020,3,2020Q3,2020-07-01,13
QLD,Heterosexual,2020,4,2020Q4,2020-10-01,8
QLD,Heterosexual,2021,1,2021Q1,2021-01-01,15
QLD,Heterosexual,2021,2,2021Q2,2021-04-01,7
QLD,Heterosexual,2021,3,2021Q3,2021-07-01,14
QLD,Heterosexual,2021,4,2021Q4,2021-10-01,9
QLD,Heterosexual,2022,1,2022Q1,2022-01-01,11
QLD,Heterosexual,2022,2,2022Q2,2022-04-01,7
QLD,Heterosexual,2022,3,2022Q3,2022-07-01,8
QLD,Heterosexual,2022,4,2022Q4,2022-10-01,14
QLD,MSM,2013,1,2013Q1,2013-01-01,27
QLD,MSM,2013,2,2013Q2,2013-04-01,41
QLD,MSM,2013,3,2013Q3,2013-07-01,20
QLD,MSM,2013,4,2013Q4,2013-10-01,37
QLD,MSM,2014,1,2014Q1,2014-01-01,28
QLD,MSM,2014,2,2014Q2,2014-04-01,26
QLD,MSM,2014,3,2014Q3,2014-07-01,35
QLD,MSM,2014,4,2014Q4,2014-10-01,23
QLD,MSM,2015,1,2015Q1,2015-01-01,38
QLD,MSM,2015,2,2015Q2,2015-04-01,27
QLD,MSM,2015,3,2015Q3,2015-07-01,26
QLD,MSM,2015,4,2015Q4,2015-10-01,32
QLD,MSM,2016,1,2016Q1,2016-01-01,40
QLD,MSM,2016,2,2016Q2,2016-04-01,34
QLD,MSM,2016,3,2016Q3,2016-07-01,29
QLD,MSM,2016,4,2016Q4,2016-10-01,28
QLD,MSM,2017,1,2017Q1,2017-01-01,26
QLD,MSM,2017,2,2017Q2,2017-04-01,26
QLD,MSM,2017,3,2017Q3,2017-07-01,19
QLD,MSM,2017,4,2017Q4,2017-10-01,27
QLD,MSM,2018,1,2018Q1,2018-01-01,30
QLD,MSM,2018,2,2018Q2,2018-04-01,22
QLD,MSM,2018,3,2018Q3,2018-07-01,27
QLD,MSM,2018,4,2018Q4,2018-10-01,15
QLD,MSM,2019,1,2019Q1,2019-01-01,16
QLD,MSM,2019,2,2019Q2,2019-04-01,26
QLD,MSM,2019,3,2019Q3,2019-07-01,25
QLD,MSM,2019,4,2019Q4,2019-10-01,19
QLD,MSM,2020,1,2020Q1,2020-01-01,24
QLD,MSM,2020,2,2020Q2,2020-04-01,32
QLD,MSM,2020,3,2020Q3,2020-07-01,14
QLD,MSM,2020,4,2020Q4,2020-10-01,21
QLD,MSM,2021,1,2021Q1,2021-01-01,20
QLD,MSM,2021,2,2021Q2,2021-04-01,21
QLD,MSM,2021,3,2021Q3,2021-07-01,17
QLD,MSM,2021,4,2021Q4,2021-10-01,20
QLD,MSM,2022,1,2022Q1,2022-01-01,14
QLD,MSM,2022,2,2022Q2,2022-04-01,13
QLD,MSM,2022,3,2022Q3,2022-07-01,13
QLD,MSM,2022,4,2022Q4,2022-10-01,17
QLD,Other,2013,1,2013Q1,2013-01-01,6
QLD,Other,2013,2,2013Q2,2013-04-01,4
QLD,Other,2013,3,2013Q3,2013-07-01,3
QLD,Other,2013,4,2013Q4,2013-10-01,7
QLD,Other,2014,1,2014Q1,2014-01-01,4
QLD,Other,2014,2,2014Q2,2014-04-01,9
QLD,Other,2014,3,2014Q3,2014-07-01,3
QLD,Other,2014,4,2014Q4,2014-10-01,8
QLD,Other,2015,1,2015Q1,2015-01-01,10
QLD,Other,2015,2,2015Q2,2015-04-01,8
QLD,Other,2015,3,2015Q3,2015-07-01,4
QLD,Other,2015,4,2015Q4,2015-10-01,4
QLD,Other,2016,1,2016Q1,2016-01-01,3
QLD,Other,2016,2,2016Q2,2016-04-01,4
QLD,Other,2016,3,2016Q3,2016-07-01,6
QLD,Other,2016,4,2016Q4,2016-10-01,5
QLD,Other,2017,1,2017Q1,2017-01-01,6
QLD,Other,2017,2,2017Q2,2017-04-01,6
QLD,Other,2017,3,2017Q3,2017-07-01,2
QLD,Other,2017,4,2017Q4,2017-10-01,2
QLD,Other,2018,1,2018Q1,2018-01-01,8
QLD,Other,2018,2,2018Q2,2018-04-01,5
QLD,Other,2018,3,2018Q3,2018-07-01,4
QLD,Other,2018,4,2018Q4,2018-10-01,4
QLD,Other,2019,1,2019Q1,2019-01-01,7
QLD,Other,2019,2,2019Q2,2019-04-01,5
QLD,Other,2019,3,2019Q3,2019-07-01,3
QLD,Other,2019,4,2019Q4,2019-10-01,7
QLD,Other,2020,1,2020Q1,2020-01-01,6
QLD,Other,2020,2,2020Q2,2020-04-01,7
QLD,Other,2020,3,2020Q3,2020-07-01,2
QLD,Other,2020,4,2020Q4,2020-10-01,3
QLD,Other,2021,1,2021Q1,2021-01-01,4
QLD,Other,2021,2,2021Q2,2021-04-01,6
QLD,Other,2021,3,2021Q3,2021-07-01,5
QLD,Other,2021,4,2021Q4,2021-10-01,8
QLD,Other,2022,1,2022Q1,2022-01-01,8
QLD,Other,2022,2,2022Q2,2022-04-01,6
QLD,Other,2022,3,2022Q3,2022-07-01,3
QLD,Other,2022,4,2022Q4,2022-10-01,5
SA,Heterosexual,2013,1,2013Q1,2013-01-01,5
SA,Heterosexual,2013,2,2013Q2,2013-04-01,6
SA,Heterosexual,2013,3,2013Q3,2013-07-01,4
SA,Heterosexual,2013,4,2013Q4,2013-10-01,7
SA,Heterosexual,2014,1,2014Q1,2014-01-01,2
SA,Heterosexual,2014,2,2014Q2,2014-04-01,8
SA,Heterosexual,2014,3,2014Q3,2014-07-01,4
SA,Heterosexual,2014,4,2014Q4,2014-10-01,3
SA,Heterosexual,2015,1,2015Q1,2015-01-01,1
SA,Heterosexual,2015,2,2015Q2,2015-04-01,5
