state,year,quarter,period,date,prep_dispensing_count
NT,2021,4,2021Q4,2021-10-01,413
NT,2022,1,2022Q1,2022-01-01,469
NT,2022,2,2022Q2,2022-04-01,468
NT,2022,3,2022Q3,2022-07-01,495
NT,2022,4,2022Q4,2022-10-01,455
QLD,2013,1,2013Q1,2013-01-01,0
QLD,2013,2,2013Q2,2013-04-01,0
QLD,2013,3,2013Q3,2013-07-01,0
QLD,2013,4,2013Q4,2013-10-01,0
QLD,2014,1,2014Q1,2014-01-01,0
QLD,2014,2,2014Q2,2014-04-01,0
QLD,2014,3,2014Q3,2014-07-01,0
QLD,2014,4,2014Q4,2014-10-01,0
QLD,2015,1,2015Q1,2015-01-01,0
QLD,2015,2,2015Q2,2015-04-01,0
QLD,2015,3,2015Q3,2015-07-01,0
QLD,2015,4,2015Q4,2015-10-01,0
QLD,2016,1,2016Q1,2016-01-01,0
QLD,2016,2,2016Q2,2016-04-01,0
QLD,2016,3,2016Q3,2016-07-01,0
QLD,2016,4,2016Q4,2016-10-01,0
QLD,2017,1,2017Q1,2017-01-01,0
QLD,2017,2,2017Q2,2017-04-01,0
QLD,2017,3,2017Q3,2017-07-01,0
QLD,2017,4,2017Q4,2017-10-01,0
QLD,2018,1,2018Q1,2018-01-01,0
QLD,2018,2,2018Q2,2018-04-01,1428
QLD,2018,3,2018Q3,2018-07-01,2051
QLD,2018,4,2018Q4,2018-10-01,2805
QLD,2019,1,2019Q1,2019-01-01,3817
QLD,2019,2,2019Q2,2019-04-01,4722
QLD,2019,3,2019Q3,2019-07-01,5514
QLD,2019,4,2019Q4,2019-10-01,6317
QLD,2020,1,2020Q1,2020-01-01,6722
QLD,2020,2,2020Q2,2020-04-01,7090
QLD,2020,3,2020Q3,2020-07-01,6603
QLD,2020,4,2020Q4,2020-10-01,6257
QLD,2021,1,2021Q1,2021-01-01,6346
QLD,2021,2,2021Q2,2021-04-01,6462
QLD,2021,3,2021Q3,2021-07-01,7048
QLD,2021,4,2021Q4,2021-10-01,7641
QLD,2022,1,2022Q1,2022-01-01,7853
QLD,2022,2,2022Q2,2022-04-01,7715
QLD,2022,3,2022Q3,2022-07-01,7640
QLD,2022,4,2022Q4,2022-10-01,7820
SA,2013,1,2013Q1,2013-01-01,0
SA,2013,2,2013Q2,2013-04-01,0
SA,2013,3,2013Q3,2013-07-01,0
SA,2013,4,2013Q4,2013-10-01,0
SA,2014,1,2014Q1,2014-01-01,0
SA,2014,2,2014Q2,2014-04-01,0
SA,2014,3,2014Q3,2014-07-01,0
SA,2014,4,2014Q4,2014-10-01,0
SA,2015,1,2015Q1,2015-01-01,0
SA,2015,2,2015Q2,2015-04-01,0
SA,2015,3,2015Q3,2015-07-01,0
SA,2015,4,2015Q4,2015-10-01,0
SA,2016,1,2016Q1,2016-01-01,0
SA,2016,2,2016Q2,2016-04-01,0
SA,2016,3,2016Q3,2016-07-01,0
SA,2016,4,2016Q4,2016-10-01,0
SA,2017,1,2017Q1,2017-01-01,0
SA,2017,2,2017Q2,2017-04-01,0
SA,2017,3,2017Q3,2017-07-01,0
SA,2017,4,2017Q4,2017-10-01,0
SA,2018,1,2018Q1,2018-01-01,0
SA,2018,2,2018Q2,2018-04-01,494
SA,2018,3,2018Q3,2018-07-01,749
SA,2018,4,2018Q4,2018-10-01,1008
SA,2019,1,2019Q1,2019-01-01,1378
SA,2019,2,2019Q2,2019-04-01,1761
SA,2019,3,2019Q3,2019-07-01,1914
SA,2019,4,2019Q4,2019-10-01,2153
SA,2020,1,2020Q1,2020-01-01,2392
SA,2020,2,2020Q2,2020-04-01,2447
SA,2020,3,2020Q3,2020-07-01,2379
SA,2020,4,2020Q4,2020-10-01,2219
SA,2021,1,2021Q1,2021-01-01,2190
SA,2021,2,2021Q2,2021-04-01,2351
SA,2021,3,2021Q3,2021-07-01,2433
SA,2021,4,2021Q4,2021-10-01,2722
SA,2022,1,2022Q1,2022-01-01,2626
SA,2022,2,2022Q2,2022-04-01,2791
SA,2022,3,2022Q3,2022-07-01,2667
SA,2022,4,2022Q4,2022-10-01,2723
TAS,2013,1,2013Q1,2013-01-01,0
TAS,2013,2,2013Q2,2013-04-01,0
TAS,2013,3,2013Q3,2013-07-01,0
TAS,2013,4,2013Q4,2013-10-01,0
TAS,2014,1,2014Q1,2014-01-01,0
TAS,2014,2,2014Q2,2014-04-01,0
TAS,2014,3,2014Q3,2014-07-01,0
TAS,2014,4,2014Q4,2014-10-01,0
TAS,2015,1,2015Q1,2015-01-01,0
TAS,2015,2,2015Q2,2015-04-01,0
TAS,2015,3,2015Q3,2015-07-01,0
TAS,2015,4,2015Q4,2015-10-01,0
TAS,2016,1,2016Q1,2016-01-01,0
TAS,2016,2,2016Q2,2016-04-01,0
TAS,2016,3,2016Q3,2016-07-01,0
TAS,2016,4,2016Q4,2016-10-01,0
TAS,2017,1,2017Q1,2017-01-01,0
TAS,2017,2,2017Q2,2017-04-01,0
TAS,2017,3,2017Q3,2017-07-01,0
TAS,2017,4,2017Q4,2017-10-01,0
TAS,2018,1,2018Q1,2018-01-01,0
TAS,2018,2,2018Q2,2018-04-01,116
TAS,2018,3,2018Q3,2018-07-01,187
TAS,2018,4,2018Q4,2018-10-01,235
TAS,2019,1,2019Q1,2019-01-01,372
TAS,2019,2,2019Q2,2019-04-01,418
TAS,2019,3,2019Q3,2019-07-01,517
TAS,2019,4,2019Q4,2019-10-01,532
TAS,2020,1,2020Q1,2020-01-01,602
TAS,2020,2,2020Q2,2020-04-01,631
TAS,2020,3,2020Q3,2020-07-01,586
TAS,2020,4,2020Q4,2020-10-01,581
TAS,2021,1,2021Q1,2021-01-01,560
TAS,2021,2,2021Q2,2021-04-01,561
TAS,2021,3,2021Q3,2021-07-01,646
TAS,2021,4,2021Q4,2021-10-01,623
TAS,2022,1,2022Q1,2022-01-01,642
TAS,2022,2,2022Q2,2022-04-01,659
TAS,2022,3,2022Q3,2022-07-01,719
TAS,2022,4,2022Q4,2022-10-01,658
VIC,2013,1,2013Q1,2013-01-01,0
VIC,2013,2,2013Q2,2013-04-01,0
VIC,2013,3,2013Q3,2013-07-01,0
VIC,2013,4,2013Q4,2013-10-01,0
VIC,2014,1,2014Q1,2014-01-01,0
VIC,2014,2,2014Q2,2014-04-01,0
VIC,2014,3,2014Q3,2014-07-01,0
VIC,2014,4,2014Q4,2014-10-01,0
VIC,2015,1,2015Q1,2015-01-01,0
VIC,2015,2,2015Q2,2015-04-01,0
VIC,2015,3,2015Q3,2015-07-01,0
VIC,2015,4,2015Q4,2015-10-01,0
VIC,2016,1,2016Q1,2016-01-01,0
VIC,2016,2,2016Q2,2016-04-01,0
VIC,2016,3,2016Q3,2016-07-01,0
VIC,2016,4,2016Q4,2016-10-01,0
VIC,2017,1,2017Q1,2017-01-01,0
VIC,2017,2,2017Q2,2017-04-01,0
VIC,2017,3,2017Q3,2017-07-01,0
VIC,2017,4,2017Q4,2017-10-01,0
VIC,2018,1,2018Q1,2018-01-01,0
VIC,2018,2,2018Q2,2018-04-01,2240
VIC,2018,3,2018Q3,2018-07-01,3278
VIC,2018,4,2018Q4,2018-10-01,4613
VIC,2019,1,2019Q1,2019-01-01,6088
VIC,2019,2,2019Q2,2019-04-01,7485
VIC,2019,3,2019Q3,2019-07-01,8995
VIC,2019,4,2019Q4,2019-10-01,9727
VIC,2020,1,2020Q1,2020-01-01,10638
VIC,2020,2,2020Q2,2020-04-01,11245
VIC,2020,3,2020Q3,2020-07-01,9595
VIC,2020,4,2020Q4,2020-10-01,8310
VIC,2021,1,2021Q1,2021-01-01,7814
VIC,2021,2,2021Q2,2021-04-01,8271
VIC,2021,3,2021Q3,2021-07-01,9840
VIC,2021,4,2021Q4,2021-10-01,12084
VIC,2022,1,2022Q1,2022-01-01,12055
VIC,2022,2,2022Q2,2022-04-01,12088
VIC,2022,3,2022Q3,2022-07-01,11987
VIC,2022,4,2022Q4,2022-10-01,12319
WA,2013,1,2013Q1,2013-01-01,0
WA,2013,2,2013Q2,2013-04-01,0
WA,2013,3,2013Q3,2013-07-01,0
WA,2013,4,2013Q4,2013-10-01,0
WA,2014,1,2014Q1,2014-01-01,0
WA,2014,2,2014Q2,2014-04-01,0
WA,2014,3,2014Q3,2014-07-01,0
WA,2014,4,2014Q4,2014-10-01,0
WA,2015,1,2015Q1,2015-01-01,0
WA,2015,2,2015Q2,2015-04-01,0
WA,2015,3,2015Q3,2015-07-01,0
WA,2015,4,2015Q4,2015-10-01,0
WA,2016,1,2016Q1,2016-01-01,0
WA,2016,2,2016Q2,2016-04-01,0
WA,2016,3,2016Q3,2016-07-01,0
WA,2016,4,2016Q4,2016-10-01,0
WA,2017,1,2017Q1,2017-01-01,0
WA,2017,2,2017Q2,2017-04-01,0
WA,2017,3,2017Q3,2017-07-01,0
WA,2017,4,2017Q4,2017-10-01,0
WA,2018,1,2018Q1,2018-01-01,0
WA,2018,2,2018Q2,2018-04-01,737
WA,2018,3,2018Q3,2018-07-01,1073
WA,2018,4,2018Q4,2018-10-01,1522
WA,2019,1,2019Q1,2019-01-01,2073
WA,2019,2,2019Q2,2019-04-01,2459
WA,2019,3,2019Q3,2019-07-01,2882
WA,2019,4,2019Q4,2019-10-01,3273
WA,2020,1,2020Q1,2020-01-01,3608
WA,2020,2,2020Q2,2020-04-01,3654
WA,2020,3,2020Q3,2020-07-01,3519
WA,2020,4,2020Q4,2020-10-01,3430
WA,2021,1,2021Q1,2021-01-01,3443
WA,2021,2,2021Q2,2021-04-01,3453
WA,2021,3,2021Q3,2021-07-01,3683
WA,2021,4,2021Q4,2021-10-01,3986
WA,2022,1,2022Q1,2022-01-01,3970
WA,2022,2,2022Q2,2022-04-01,4032
WA,2022,3,2022Q3,2022-07-01,4138
WA,2022,4,2022Q4,2022-10-01,4139
